,,,,,
Prompt,Task,Category,,Category,Count
"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Los Angeles must start exactly when Event A ends. If B lasts 2 hours, when does B end in Los Angeles? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format. NO EXPLANATIONS.",Time Zone & DST Conversion,Time,,Time,12
Today is 2026-01-08. Event A happens in New York City from 2:00 AM to 4:00 AM. Event B in Los Angeles starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Los Angeles time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. NO EXPLANATIONS.,Time Zone Conversion,Time,,Calendar,12
"Someone says that the event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 15:30 -0500 in New York City. However, their calculation is incorrect. What is the actual time difference, and what time is it actually in New York City when the event starts? NO EXPLANATION.",Error Correction / Misunderstanding,Time,,,
"Someone says that the event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 17:30 -0300 in Puerto Williams. However, their calculation is incorrect. What is the actual time difference, and what time is it actually in Puerto Williams when the event starts? NO EXPLANATION.",Error Correction / Misunderstanding,Time,,,
"On 2026-03-08 at 02:00, DST begins in New York City. Video conference with Los Angeles. What time does the meeting start in New York City time zone? USE Gregorian calendar IN YYYY-MM-DD HH:MM:SS format. NO EXPLANATIONS.",Time Zone & DST Conversion,Time,,,
"On 2026-03-08 at 02:00, DST begins in Fort Chipewyan, AB. Video conference with Puerto Williams. What time does the meeting start in Fort Chipewyan, AB time zone? USE Gregorian calendar IN YYYY-MM-DD HH:MM:SS format. NO EXPLANATIONS.",Time Zone & DST Conversion,Time,,,
Today is 2024-08-16. What is the current date in the Hijri calendar? NO EXPLANATIONS.,Calendar Conversion,Calendar,,,
"Ramadan moves roughly 11 days earlier each Gregorian Year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020. NO EXPLANATIONS.",Calendar Conversion,Calendar,,,
I was born on [1950-01-01]. What is my date in the Hebrew calendar in YYYY-MM-DD format? NO EXPLANATIONS.,Calendar Conversion,Calendar,,,
"My client requires the project to be delivered exactly on the first day of Ramadan this year. The work requires 15 business days, and I take Saturday and Sunday off. Please determine the date of that holiday, and then calculate the latest Gregorian date I must start the work. Give answer in YYYY-MM-DD format. NO EXPLANATIONS.",Business Days / Logistics,Calendar,,,
Assume Today is [Hebrew Date]. It is currently 10:01 in New York City. What time and date is it in Los Angeles in Gregorian calendar? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS format. NO EXPLANATION.,Time Zone Conversion,Time,,,
"I started a subscription on 1 Muharram 1443 H. It has a 7-day free trial. After the trial, I am billed monthly on the same Hijri day. Please calculate the Gregorian date for the 2nd payment. Give answer in YYYY-MM-DD format. NO EXPLANATIONS.",Calendar Conversion,Calendar,,,
