Prompt,Total Count,False Count,True Count,Accuracy,Sample,Places,Category
Coherelabs Aya Expanse 32B Prompt2 Gen Data Hebrew ,1000,1000,0,0.00%,‪Assume Today is א׳ ניסן תשס״ב‎. It is currently 10:01 in New York City. What time and date is it in Los Angeles in Gregorian Calendar? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS format. NO EXPLANATION.‬,Accessible ,Time
Coherelabs Aya Expanse 32B Prompt2 Gen Data Hebrew ,1000,1000,0,0.00%,‪Assume Today is א׳ ניסן תשס״ב‎. It is currently 10:01 in Puerto Williams. What time and date is it in Ushuaia in Gregorian Calendar? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS format. NO EXPLANATION.‬,Remote ,Time
Coherelabs Aya Expanse 32B Prompt3 Gen Data Hebrew ,1000,1000,0,0.00%,"In the Hebrew calendar, today is ט״ו ניסן תשפ״ה. Event A occurs from 2:00 AM to 6:00 AM in New York City. Event B occurs from 6:00 AM to 9:00 AM in Los Angeles. During what time period do these events overlap when both are converted to New York City time? Convert the final answer in the Hebrew calendar date and New York City local time. PLEASE ONLY PROVIDE THE ANSWER. NO EXPLANATIONS.",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt3 Gen Data Hebrew ,1000,1000,0,0.00%,"In the Hebrew calendar, today is ט״ו ניסן תשפ״ה. Event A occurs from 2:00 AM to 6:00 AM in Puerto Williams. Event B occurs from 6:00 AM to 9:00 AM in Ushuaia. During what time period do these events overlap when both are converted to Puerto Williams time? Convert the final answer in the Hebrew calendar date and Puerto Williams local time. PLEASE ONLY PROVIDE THE ANSWER. NO EXPLANATIONS.",Remote ,Time
Coherelabs Aya Expanse 32B Prompt4 Gen Data Dst End ,1000,1000,0,0.00%,"‪On כ״א חשון תשפ״ז‎ in New York City, daylight saving time ends and clocks fall back one hour. A flight departs at this exact time. If the flight duration is 6 hours to Los Angeles, what time does it arrive in both local time and Hebrew calendar date at the destination? NO EXPLANATIONS.‬",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt4 Gen Data Dst End ,1000,1000,0,0.00%,"‪On כ״א חשון תשפ״ז‎ in Fort Chipewyan, AB, daylight saving time ends and clocks fall back one hour. A flight departs at this exact time. If the flight duration is 6 hours to Puerto Williams, what time does it arrive in both local time and Hebrew calendar date at the destination? NO EXPLANATIONS.‬",Remote ,Time
Coherelabs Aya Expanse 32B Prompt5 Chinese Lunar Time ,1000,995,5,0.50%,"‪Today is the Chinese lunar date 12th day of the 11th lunar month in the Year of the Snake‎. Using the current global time zone system, if it is 2:42 PM in New York City, what is the current local time in Los Angeles? NO EXPLANATIONS.‬",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt5 Chinese Lunar Time ,1000,1000,0,0.00%,"‪Today is the Chinese lunar date 12th day of the 11th lunar month in the Year of the Snake‎. Using the current global time zone system, if it is 2:42 PM in Puerto Williams, what is the current local time in Ushuaia? NO EXPLANATIONS.‬",Remote ,Time
Coherelabs Aya Expanse 32B Prompt6 Gen Data ,1000,999,1,0.10%,"‪In the Hebrew calendar, the date is ט״ו ניסן תשפ״ה‎. Event A in New York City happens at 10:01 and lasts 4 hours. Event B in Los Angeles must start at least 1 hour after Event A ends. What is the earliest possible start time for Event B in Los Angeles local time in Hebrew Calendar? NO EXPLANATIONS.‬",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt6 Gen Data ,1000,1000,0,0.00%,"‪In the Hebrew calendar, the date is ט״ו ניסן תשפ״ה‎. Event A in Puerto Williams happens at 10:01 and lasts 4 hours. Event B in Ushuaia must start at least 1 hour after Event A ends. What is the earliest possible start time for Event B in Ushuaia local time in Hebrew Calendar? NO EXPLANATIONS.‬",Remote ,Time
