prompt,Total Count,False Count,True Count,Accuracy,sample
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt10_lord_howe_dst_accessible_places_with_accuracy.json,    1000,     932,      68,6.7999999999999998%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Los Angeles must start exactly when A ends. If B lasts 2 hours, when does B end in Los Angeles? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format.NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt10_lord_howe_dst_remote_places_with_accuracy.json,    1000,     989,      11,1.1000000000000001%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Ushuaia must start exactly when A ends. If B lasts 2 hours, when does B end in Ushuaia? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format.NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt11_greg_events_accessible_places_with_accuracy.json,    1000,     794,     206,20.600000000000001%,"Today is 2026-01-08. Event A happens in New York City from 2:00 AM to 4:00 AM. Event B in Los Angeles starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Los Angeles time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt11_greg_events_remote_places_with_accuracy.json,    1000,     936,      64,6.4000000000000004%,"Today is 2026-01-08. Event A happens in Puerto Williams from 2:00 AM to 4:00 AM. Event B in Ushuaia starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Ushuaia time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt13_marquesas_time_difference_gen_accessible_places_with_accuracy.json,    1000,    1000,       0,0.%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 15:30 -0500 in New York City. However, their calculation is incorrect. What is the actual time difference, what time is it actually in New York City when the event starts?NO EXPLANATION."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt13_marquesas_time_difference_gen_remote_places_with_accuracy.json,    1000,    1000,       0,0.%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 17:30 -0300 in Puerto Williams. However, their calculation is incorrect. What is the actual time difference, what time is it actually in Puerto Williams when the event starts?NO EXPLANATION."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt15_dst_calendar_accessible_places_with_accuracy.json,    1000,     531,     469,46.899999999999999%,"On 2026-03-08 at 02:00, DST begins in New York City. Video conference with Los Angeles. What time does the meeting start in New York City time zone? USE GREGORIAN CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt15_dst_calendar_remote_places_with_accuracy.json,    1000,       6,     994,99.400000000000006%,"On 2026-03-08 at 02:00, DST begins in Fort Chipewyan, AB. Video conference with Puerto Williams. What time does the meeting start in Fort Chipewyan, AB time zone? USE GREGORIAN CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt16_hijri_hebrew_dates_accessible_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar?NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt16_hijri_hebrew_dates_remote_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar?NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt17_ramadhan_estimate_accessible_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt17_ramadhan_estimate_remote_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt18_birthdate_hijri_hebrew_accessible_places_with_accuracy.json,     756,     755,       1,0.13227513227513227%,"‪I was born on [1950-01-01]. What is my date in the Hebrew Calendar in YYY-MM-DD format?NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt18_birthdate_hijri_hebrew_remote_places_with_accuracy.json,     756,     755,       1,0.13227513227513227%,"‪I was born on [1950-01-01]. What is my date in the Hebrew Calendar in YYY-MM-DD format?NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt19_holiday_deadline_accessible_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪My client requires the project to be delivered exactly on the first day of Ramadan this year. The work requires 1 business days, and I take Saturday and Sunday off. Please determine the date of that holiday, and then calculate the latest Gregorian date I must start the work.Give answer in YYYY-MM-DD format.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt19_holiday_deadline_remote_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪My client requires the project to be delivered exactly on the first day of Ramadan this year. The work requires 1 business days, and I take Saturday and Sunday off. Please determine the date of that holiday, and then calculate the latest Gregorian date I must start the work.Give answer in YYYY-MM-DD format.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt2_gen_data_hebrew_accessible_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪Assume Today is א׳ ניסן תשס״ב‎. It is currently 10:01 in New York City. What time and date is it in Los Angeles in Gregorian Calendar? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS format.NO EXPLANATION.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt2_gen_data_hebrew_remote_places_with_accuracy.json,    1000,    1000,       0,0.%,"‪Assume Today is א׳ ניסן תשס״ב‎. It is currently 10:01 in Puerto Williams. What time and date is it in Ushuaia in Gregorian Calendar? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS format.NO EXPLANATION.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt20_hijri_subscription_trial_accessible_places_with_accuracy.json,    1000,     936,      64,6.4000000000000004%,"I started a subscription on 1 Muharram 1443 AH. It has a 7-day free trial. After the trial, I am billed monthly on the same Hijri day. Please calculate the Gregorian date for the 2nd payment. Give answer in YYYY-MM-DD format. NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt20_hijri_subscription_trial_remote_places_with_accuracy.json,    1000,     936,      64,6.4000000000000004%,"I started a subscription on 1 Muharram 1443 AH. It has a 7-day free trial. After the trial, I am billed monthly on the same Hijri day. Please calculate the Gregorian date for the 2nd payment. Give answer in YYYY-MM-DD format. NO EXPLANATIONS."
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt21_hebrew_subscription_accessible_places_with_accuracy.json,    1000,     977,      23,2.2999999999999998%,"‪I started a subscription on 4 Tevet 5750. It has a 7-day free trial. After the trial, I am billed monthly on the same Hebrew day. Please calculate the Gregorian date for the 1st payment.Give answer in format YYYY-MM-DD.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt21_hebrew_subscription_remote_places_with_accuracy.json,    1000,     977,      23,2.2999999999999998%,"‪I started a subscription on 4 Tevet 5750. It has a 7-day free trial. After the trial, I am billed monthly on the same Hebrew day. Please calculate the Gregorian date for the 1st payment.Give answer in format YYYY-MM-DD.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt22_shipping_businessdays_accessible_places_with_accuracy.json,    1000,     955,      45,4.5%,"‪I am ordering a package on [2020-06-12] at [19:05]. The shipping takes 1 business days to arrive, bearing in mind that the work week follows a [Monday–Friday] schedule. Crucially, the shipping company has a strict policy that any order placed after [10:00] is not processed until the following business day. Please calculate the arrival day and provide the final answer as a Gregorian Date, ensuring that you apply the cut‑off rule before counting the days.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt22_shipping_businessdays_remote_places_with_accuracy.json,    1000,     955,      45,4.5%,"‪I am ordering a package on [2020-06-12] at [19:05]. The shipping takes 1 business days to arrive, bearing in mind that the work week follows a [Monday–Friday] schedule. Crucially, the shipping company has a strict policy that any order placed after [10:00] is not processed until the following business day. Please calculate the arrival day and provide the final answer as a Gregorian Date, ensuring that you apply the cut‑off rule before counting the days.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt24_meeting_time_accessible_places_with_accuracy.json,    1000,     961,      39,3.8999999999999999%,"‪On 2026-04-15 I need to schedule a meeting between a colleague in New York City, USA and a colleague in Los Angeles, USA. What is a reasonable time slot where it is between 09:00 and 11:00 for both of them? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS to YYYY-MM-DD HH:MM:SS format for New York City, USA time. If there is no overlap answer 'No Overlap'.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt24_meeting_time_remote_places_with_accuracy.json,    1000,     907,      93,9.3000000000000007%,"‪On 2026-04-15 I need to schedule a meeting between a colleague in Puerto Williams, Chile and a colleague in Ushuaia, Argentina. What is a reasonable time slot where it is between 09:00 and 11:00 for both of them? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS to YYYY-MM-DD HH:MM:SS format for Puerto Williams, Chile time. If there is no overlap answer 'No Overlap'.NO EXPLANATIONS.‬"
prompts_with_accuracy/CohereLabs_aya-expanse-32b_prompts_prompt3_gen_data_hebrew_accessible_places_with_accuracy.json,    1000,    1000,       0,0.%,"In the Hebrew calendar, today is ט״ו ניסן תשפ״ה. Event A occurs from 2:00 AM to 6:00 AM in New York City. Event B occurs from 6:00 AM to 9:00 AM in Los Angeles. During what time period do these events overlap when both are converted to New York City time? Convert the final answer in the Hebrew calendar date and New York City local time. PLEASE ONLY PROVIDE THE ANSWER. NO EXPLANATIONS."
