prompt_num,prompt,Total Count,False Count,True Count,Accuracy,sample
prompt10,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt10_lord_howe_dst_accessible_places_with_accuracy.json,1000,885,115,11.50%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Los Angeles must start exactly when A ends. If B lasts 2 hours, when does B end in Los Angeles? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format.Think step by step. NO EXPLANATIONS."
prompt10,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt10_lord_howe_dst_remote_places_with_accuracy.json,1000,974,26,2.60%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Ushuaia must start exactly when A ends. If B lasts 2 hours, when does B end in Ushuaia? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format.Think step by step. NO EXPLANATIONS."
prompt11,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt11_greg_events_accessible_places_with_accuracy.json,1000,846,154,15.40%,Today is 2026-01-08. Event A happens in New York City from 2:00 AM to 4:00 AM. Event B in Los Angeles starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Los Angeles time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. Think step by step. NO EXPLANATIONS.
prompt11,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt11_greg_events_remote_places_with_accuracy.json,1000,992,8,0.80%,Today is 2026-01-08. Event A happens in Puerto Williams from 2:00 AM to 4:00 AM. Event B in Ushuaia starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Ushuaia time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. Think step by step. NO EXPLANATIONS.
prompt13,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt13_marquesas_time_difference_gen_accessible_places_with_accuracy.json,1000,1000,0,0.00%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 15:30 -0500 in New York City. However, their calculation is incorrect. What is the actual time difference, what time is it actually in New York City when the event starts?Think step by step. NO EXPLANATION."
prompt13,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt13_marquesas_time_difference_gen_remote_places_with_accuracy.json,1000,1000,0,0.00%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 17:30 -0300 in Puerto Williams. However, their calculation is incorrect. What is the actual time difference, what time is it actually in Puerto Williams when the event starts?Think step by step. NO EXPLANATION."
prompt15,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt15_dst_calendar_accessible_places_with_accuracy.json,1000,1000,0,0.00%,"On 2026-03-08 at 02:00, DST begins in New York City. Video conference with Los Angeles. What time does the meeting start in New York City time zone? USE GREGORIAN CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. Think step by step. NO EXPLANATIONS."
prompt15,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt15_dst_calendar_remote_places_with_accuracy.json,1000,1000,0,0.00%,"On 2026-03-08 at 02:00, DST begins in Fort Chipewyan, AB. Video conference with Puerto Williams. What time does the meeting start in Fort Chipewyan, AB time zone? USE GREGORIAN CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. Think step by step. NO EXPLANATIONS."
prompt16,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt16_hijri_hebrew_dates_accessible_places_with_accuracy.json,1000,1000,0,0.00%,‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar?Think step by step. NO EXPLANATIONS.‬
prompt16,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt16_hijri_hebrew_dates_remote_places_with_accuracy.json,1000,1000,0,0.00%,‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar?Think step by step. NO EXPLANATIONS.‬
prompt17,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt17_ramadhan_estimate_accessible_places_with_accuracy.json,1000,1000,0,0.00%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020.Think step by step. NO EXPLANATIONS.‬"
prompt17,prompts_with_accuracy_cot/CohereLabs_aya-23-8B_prompts_cot_prompt17_ramadhan_estimate_remote_places_with_accuracy.json,1000,1000,0,0.00%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020.Think step by step. NO EXPLANATIONS.‬"
